8|05/10/2013|Barcelona|Valladolid|0|21|6|18|6|9|2|0|0|84|85|86|83|73|73|73|72
8|06/10/2013|Atlético de Madrid|Celta de Vigo|0|21|6|18|5|9|3|0|0|80|81|80|80|72|74|71|68
8|06/10/2013|Sevilla|Almería|0|6|3|6|3|4|1|0|1|76|75|76|74|71|71|71|70
8|06/10/2013|Getafe|Betis|0|10|8|10|8|7|1|0|0|74|74|74|73|74|75|75|74
8|06/10/2013|Athletic Club|Valencia|1|12|12|9|9|9|3|0|0|76|78|77|75|78|79|77|78
9|19/10/2013|Real Madrid|Málaga|0|19|9|13|9|6|3|0|0|84|85|83|82|75|75|70|76
9|19/10/2013|Valencia|Real Sociedad|2|13|7|10|3|6|1|0|0|78|79|77|78|77|78|75|77
9|19/10/2013|Osasuna|Barcelona|1|6|24|6|18|3|9|0|0|72|71|72|72|84|85|86|83
9|19/10/2013|Espanyol|Atlético de Madrid|0|11|24|7|18|4|9|0|0|73|73|72|73|80|81|80|80
9|20/10/2013|Granada|Getafe|2|8|13|5|12|3|3|0|0|72|73|72|70|74|74|74|73
9|20/10/2013|Almería|Rayo Vallecano|2|3|6|2|3|2|0|1|0|71|71|71|70|73|73|72|73
9|20/10/2013|Betis|Elche|2|8|9|8|8|7|4|0|1|74|75|75|74|73|74|72|72
9|20/10/2013|Valladolid|Sevilla|1|6|9|6|8|4|1|0|0|73|73|73|72|76|75|76|74
9|21/10/2013|Celta de Vigo|Levante|2|6|10|2|9|2|7|0|0|72|74|71|68|73|73|73|73
9|21/10/2013|Athletic Club|Villarreal|0|13|17|7|11|7|4|0|1|76|78|77|75|73|72|74|71
10|25/10/2013|Rayo Vallecano|Valladolid|2|9|7|6|4|3|2|0|0|73|73|72|73|73|73|73|72
10|26/10/2013|Málaga|Celta de Vigo|2|9|6|8|1|6|0|0|0|75|75|70|76|72|74|71|68
10|26/10/2013|Barcelona|Real Madrid|0|25|22|16|13|9|7|0|0|84|85|86|83|84|85|83|82
10|26/10/2013|Elche|Granada|2|12|8|10|4|4|2|1|0|73|74|72|72|72|73|72|70
10|26/10/2013|Levante|Espanyol|0|13|14|9|9|2|3|0|0|73|73|73|73|73|73|72|73
10|27/10/2013|Sevilla|Osasuna|0|10|7|8|7|7|3|0|0|76|75|76|74|72|71|72|72
10|27/10/2013|Villarreal|Valencia|0|17|13|8|10|7|4|1|0|73|72|74|71|78|79|77|78
10|27/10/2013|Real Sociedad|Almería|0|10|3|6|1|2|0|0|1|77|78|75|77|71|71|71|70
10|27/10/2013|Atlético de Madrid|Betis|0|24|8|15|7|9|1|0|0|80|81|80|80|74|75|75|74
10|28/10/2013|Getafe|Athletic Club|2|16|16|15|10|9|0|0|0|74|74|74|73|76|78|77|75
11|29/10/2013|Espanyol|Málaga|1|14|9|6|5|6|2|0|0|73|73|72|73|75|75|70|76
11|29/10/2013|Celta de Vigo|Barcelona|2|9|28|4|16|1|7|0|0|72|74|71|68|84|85|86|83
11|30/10/2013|Valladolid|Real Sociedad|1|10|13|6|8|2|3|0|0|73|73|73|72|77|78|75|77
11|30/10/2013|Valencia|Almería|2|13|3|10|1|6|0|0|1|78|79|77|78|71|71|71|70
11|30/10/2013|Real Madrid|Sevilla|0|22|13|12|11|6|2|0|0|84|85|83|82|76|75|76|74
11|30/10/2013|Osasuna|Rayo Vallecano|0|7|9|7|6|4|3|0|0|72|71|72|72|73|73|72|73
11|31/10/2013|Villarreal|Getafe|2|20|16|10|12|9|6|1|0|73|72|74|71|74|74|74|73
11|31/10/2013|Granada|Atlético de Madrid|2|11|27|7|15|3|6|0|0|72|73|72|70|80|81|80|80
11|31/10/2013|Athletic Club|Elche|1|19|12|10|9|7|6|0|1|76|78|77|75|73|74|72|72
11|31/10/2013|Betis|Levante|1|8|16|4|11|4|7|0|0|74|75|75|74|73|73|73|73
12|01/11/2013|Barcelona|Espanyol|0|31|15|16|4|9|0|0|0|84|85|86|83|73|73|72|73
12|02/11/2013|Real Sociedad|Osasuna|0|14|10|8|7|5|3|0|0|77|78|75|77|72|71|72|72
12|02/11/2013|Almería|Valladolid|0|6|11|3|7|1|4|1|0|71|71|71|70|73|73|73|72
12|02/11/2013|Rayo Vallecano|Real Madrid|2|9|25|6|12|3|6|0|0|73|73|72|73|84|85|83|82
12|02/11/2013|Sevilla|Celta de Vigo|2|13|9|11|3|9|3|0|0|76|75|76|74|72|74|71|68
12|03/11/2013|Getafe|Valencia|2|19|13|15|7|6|4|0|0|74|74|74|73|78|79|77|78
12|03/11/2013|Atlético de Madrid|Athletic Club|0|30|20|15|11|9|3|0|0|80|81|80|80|76|78|77|75
12|03/11/2013|Levante|Granada|2|17|11|11|6|4|4|0|0|73|73|73|73|72|73|72|70
12|03/11/2013|Málaga|Betis|0|10|9|5|4|3|0|0|0|75|75|70|76|74|75|75|74
12|04/11/2013|Elche|Villarreal|2|13|20|10|9|3|1|1|1|73|74|72|72|73|72|74|71
13|08/11/2013|Osasuna|Almería|2|10|9|7|6|4|3|0|1|72|71|72|72|71|71|71|70
13|08/11/2013|Granada|Málaga|0|14|13|9|5|3|2|0|0|72|73|72|70|75|75|70|76
13|09/11/2013|Real Madrid|Real Sociedad|0|28|17|12|11|6|4|0|0|84|85|83|82|77|78|75|77
13|09/11/2013|Getafe|Elche|1|19|13|12|10|3|7|0|1|74|74|74|73|73|74|72|72
13|09/11/2013|Athletic Club|Levante|0|20|17|8|10|5|7|0|0|76|78|77|75|73|73|73|73
13|09/11/2013|Celta de Vigo|Rayo Vallecano|2|12|9|6|6|0|3|0|0|72|74|71|68|73|73|72|73
13|10/11/2013|Espanyol|Sevilla|2|15|13|4|8|4|2|0|0|73|73|72|73|76|75|76|74
13|10/11/2013|Valencia|Valladolid|1|16|11|7|6|3|3|0|0|78|79|77|78|73|73|73|72
13|10/11/2013|Villarreal|Atlético de Madrid|1|23|33|9|15|6|6|1|0|73|72|74|71|80|81|80|80
13|10/11/2013|Betis|Barcelona|2|9|34|4|16|4|7|0|0|74|75|75|74|84|85|86|83
14|22/11/2013|Valladolid|Osasuna|2|12|10|6|7|3|3|0|0|73|73|73|72|72|71|72|72
14|23/11/2013|Barcelona|Granada|0|37|17|16|9|9|6|0|0|84|85|86|83|72|73|72|70
14|23/11/2013|Real Sociedad|Celta de Vigo|0|17|12|10|6|7|6|0|0|77|78|75|77|72|74|71|68
14|23/11/2013|Almería|Real Madrid|2|12|31|9|15|3|6|1|0|71|71|71|70|84|85|83|82
14|23/11/2013|Atlético de Madrid|Getafe|0|34|20|13|10|9|9|0|0|80|81|80|80|74|74|74|73
14|24/11/2013|Levante|Villarreal|2|17|24|7|10|3|3|0|1|73|73|73|73|73|72|74|71
14|24/11/2013|Rayo Vallecano|Espanyol|2|12|15|9|4|3|0|0|0|73|73|72|73|73|73|72|73
14|24/11/2013|Elche|Valencia|0|14|17|8|5|3|4|1|0|73|74|72|72|78|79|77|78
14|24/11/2013|Sevilla|Betis|0|16|9|10|1|6|0|0|0|76|75|76|74|74|75|75|74
14|25/11/2013|Málaga|Athletic Club|2|13|23|4|11|3|3|0|0|75|75|70|76|76|78|77|75
15|29/11/2013|Getafe|Levante|0|20|17|7|7|1|4|0|0|74|74|74|73|73|73|73|73
15|29/11/2013|Villarreal|Málaga|1|27|13|10|4|4|1|1|0|73|72|74|71|75|75|70|76
15|30/11/2013|Elche|Atlético de Madrid|2|17|37|8|13|3|4|1|0|73|74|72|72|80|81|80|80
15|30/11/2013|Celta de Vigo|Almería|0|12|12|6|9|0|6|0|1|72|74|71|68|71|71|71|70
15|30/11/2013|Real Madrid|Valladolid|0|34|12|15|6|9|4|0|0|84|85|83|82|73|73|73|72
15|30/11/2013|Espanyol|Real Sociedad|2|18|20|7|13|4|4|0|0|73|73|72|73|77|78|75|77
15|01/12/2013|Betis|Rayo Vallecano|1|9|12|1|6|1|6|0|0|74|75|75|74|73|73|72|73
15|01/12/2013|Granada|Sevilla|2|17|19|9|10|3|4|0|0|72|73|72|70|76|75|76|74
15|01/12/2013|Valencia|Osasuna|0|17|13|4|7|1|3|0|0|78|79|77|78|72|71|72|72
15|01/12/2013|Athletic Club|Barcelona|0|26|40|13|16|7|7|0|0|76|78|77|75|84|85|86|83
16|13/12/2013|Levante|Elche|0|17|17|4|5|3|5|0|1|73|73|73|73|73|74|72|72
16|14/12/2013|Osasuna|Real Madrid|1|13|37|6|15|4|6|0|0|72|71|72|72|84|85|83|82
16|14/12/2013|Rayo Vallecano|Granada|2|13|17|4|9|0|6|0|0|73|73|72|73|72|73|72|70
16|14/12/2013|Barcelona|Villarreal|0|40|28|15|11|9|6|0|1|84|85|86|83|73|72|74|71
16|14/12/2013|Málaga|Getafe|0|14|23|5|7|3|6|0|0|75|75|70|76|74|74|74|73
16|15/12/2013|Almería|Espanyol|1|12|18|9|4|3|3|1|0|71|71|71|70|73|73|72|73
16|15/12/2013|Real Sociedad|Betis|0|23|10|13|2|9|0|0|0|77|78|75|77|74|75|75|74
16|15/12/2013|Sevilla|Athletic Club|1|22|29|12|13|6|6|0|0|76|75|76|74|76|78|77|75
16|15/12/2013|Atlético de Madrid|Valencia|0|40|20|16|7|9|3|0|0|80|81|80|80|78|79|77|78
16|16/12/2013|Valladolid|Celta de Vigo|0|12|15|5|9|2|6|0|0|73|73|73|72|72|74|71|68
17|20/12/2013|Elche|Málaga|2|17|17|5|8|3|2|1|0|73|74|72|72|75|75|70|76
17|21/12/2013|Villarreal|Sevilla|2|28|23|8|10|2|6|1|0|73|72|74|71|76|75|76|74
17|21/12/2013|Betis|Almería|2|10|13|2|10|2|6|0|1|74|75|75|74|71|71|71|70
17|21/12/2013|Atlético de Madrid|Levante|0|43|20|16|4|9|1|0|0|80|81|80|80|73|73|73|73
17|21/12/2013|Granada|Real Sociedad|2|20|26|9|13|3|4|0|0|72|73|72|70|77|78|75|77
17|22/12/2013|Espanyol|Valladolid|0|19|15|5|5|1|1|0|0|73|73|72|73|73|73|73|72
17|22/12/2013|Getafe|Barcelona|2|23|43|7|15|4|6|0|0|74|74|74|73|84|85|86|83
17|22/12/2013|Athletic Club|Rayo Vallecano|0|30|13|11|4|7|4|0|0|76|78|77|75|73|73|72|73
17|22/12/2013|Celta de Vigo|Osasuna|1|15|14|6|7|3|3|0|0|72|74|71|68|72|71|72|72
17|22/12/2013|Valencia|Real Madrid|2|20|38|7|16|4|7|0|0|78|79|77|78|84|85|83|82
18|04/01/2014|Málaga|Atlético de Madrid|2|20|46|10|16|6|7|0|0|75|75|70|76|80|81|80|80
18|04/01/2014|Valladolid|Betis|1|15|10|4|1|4|0|0|0|73|73|73|72|74|75|75|74
18|04/01/2014|Valencia|Levante|0|20|20|7|3|4|0|0|0|78|79|77|78|73|73|73|73
18|04/01/2014|Almería|Granada|0|16|20|10|9|4|6|1|0|71|71|71|70|72|73|72|70
18|05/01/2014|Sevilla|Getafe|0|26|23|13|4|4|3|0|0|76|75|76|74|74|74|74|73
18|05/01/2014|Barcelona|Elche|0|46|17|15|4|9|2|0|1|84|85|86|83|73|74|72|72
18|05/01/2014|Osasuna|Espanyol|0|15|22|5|7|4|4|0|0|72|71|72|72|73|73|72|73
18|05/01/2014|Real Sociedad|Athletic Club|0|29|33|15|13|9|4|0|0|77|78|75|77|76|78|77|75
18|06/01/2014|Real Madrid|Celta de Vigo|0|41|16|16|7|9|3|0|0|84|85|83|82|72|74|71|68
18|06/01/2014|Rayo Vallecano|Villarreal|2|13|28|4|8|0|6|0|1|73|73|72|73|73|72|74|71
19|10/01/2014|Granada|Valladolid|0|20|16|6|5|3|1|0|0|72|73|72|70|73|73|73|72
19|11/01/2014|Athletic Club|Almería|0|33|19|13|10|9|6|0|1|76|78|77|75|71|71|71|70
19|11/01/2014|Celta de Vigo|Valencia|0|16|23|4|7|4|3|0|0|72|74|71|68|78|79|77|78
19|11/01/2014|Atlético de Madrid|Barcelona|1|49|49|16|15|9|6|0|0|80|81|80|80|84|85|86|83
19|11/01/2014|Elche|Sevilla|1|17|29|4|16|3|9|1|0|73|74|72|72|76|75|76|74
19|12/01/2014|Getafe|Rayo Vallecano|2|23|13|4|4|4|4|0|0|74|74|74|73|73|73|72|73
19|12/01/2014|Betis|Osasuna|2|11|18|2|8|1|4|0|0|74|75|75|74|72|71|72|72
19|12/01/2014|Espanyol|Real Madrid|2|22|44|7|16|3|7|0|0|73|73|72|73|84|85|83|82
19|12/01/2014|Levante|Málaga|0|20|20|3|7|3|4|0|0|73|73|73|73|75|75|70|76
19|13/01/2014|Villarreal|Real Sociedad|0|31|32|8|15|2|6|1|0|73|72|74|71|77|78|75|77
